Property Names,Brand,State,Location,Property type,Pet-friendly,Factsheets,Status,Factsheet SPOC,Updated,OTA Listing Content,Unnamed: 11,Website content Website Amenities,Status.1,Brochure Content,Status.2,Website live Status,Brochure Design (Branded) link,Brochure Design (Branded) Bitly Link,Status.3,Remarks,Brochure_Branded | Verification,"Brochure Design 
(Non-Branded) Link",Brochure Design (Non-Branded) Bitly Link,Status.4,"Home Guide
(Content)","Home Guide
(Design)",Remarks.1,Brochure_Non Branded | Verification,Set Menu (Branded),Set Menu,"Walk-Through Videos 
(Branded) links",Non-branded Walkthrough links,"Walk-Through Videos 
(Non-Branded) links",Non-Branded photo drive links,Unnamed: 35,Raw Photoshoot,Photo Drive Link,3D Tour,Reels,ID,Price,Email
Maple Grove at Arpora Unit 165,ELIVAAS,Goa,Vagator,4-BHK Villa,No,Maple Grove at Arpora Unit 165 Factsheet.docx,Yes,,,"TROPICAL, C-7 Listing Content",Done,BLUDOOR WEBSITE SPACES SECTION,Done,MAPLE GROVE AT ARPORA UNIT 165 BROCHURE.docx,Done,Done,Elivaas_Cloud7 Brochure.pdf,https://bit.ly/4anxqkK,Done,Good To Go,,G1LN4E0067_4BHK_Detailed Brochure.pdf,https://bit.ly/48gl0cp,Done,Maple Grove at Arpora Unit 165 - HOME GUIDE.pdf,Maple Grove at Arpora Unit 165 - HOME GUIDE.pdf,Good To Go,,Maple Grove at Arpora Unit 165 - Set Menu.pdf,Maple Grove at Arpora Unit 165 - Set Menu.pdf,Cloud7 Walkthrough.mp4,Bauhinia Walkthrough.mp4,G1LN4E0067.mp4,https://bit.ly/3SXluPD,Indah,,Indah_4bhk_Moira,https://bit.ly/45P20zV,https://www.instagram.com/p/DCqhrEhScle/ | https://www.instagram.com/p/C_lDDY-o8q7/ https://www.instagram.com/p/C-AwXOVSUj8/ | https://www.instagram.com/p/C9xA2Ahymi-/ https://www.instagram.com/p/C9t4rQhOpxF/ | https://www.instagram.com/p/C9C5uguJtwH/  https://www.instagram.com/p/C6TU16rJs8B/ | https://www.instagram.com/p/C6OeuNuMdEn/,62.0,24500.0,contact62@elivaas.com
Whispering Grove at Arpora Unit 463,ELIVAAS,Goa,Assagao,3-BHK Villa,No,Whispering Grove at Arpora Unit 463 Factsheet.docx,Yes,,,DAHLIA Listing Content,Done,BLUDOOR WEBSITE SPACES SECTION,Done,WHISPERING GROVE AT ARPORA UNIT 463 BROCHURE.docx,Done,Done,Elivaas_Indah_Detailed Brochure.pdf,https://bit.ly/48cNunl,Done,Good To Go,,G1CT4E0012_Detailed Brochure.pdf,https://bit.ly/3uUzuQN,Done,Whispering Grove at Arpora Unit 463 - HOME GUIDE.pdf,Whispering Grove at Arpora Unit 463 - HOME GUIDE.pdf,Good To Go,,Whispering Grove at Arpora Unit 463 - Set Menu.pdf,Whispering Grove at Arpora Unit 463 - Set Menu.pdf,Risaia Walkthrough.mp4,Indah Walkthrough.MP4,G1CD4E0008.mp4,https://bit.ly/3uwmAbQ,Panache,,BluDoor,https://bit.ly/3RxZ6MF,"https://www.instagram.com/p/DCqhrEhScle/, https://www.instagram.com/p/C_lDDY-o8q7/, https://www.instagram.com/p/C-AwXOVSUj8/, https://www.instagram.com/p/C9xA2Ahymi-/, https://www.instagram.com/p/C9t4rQhOpxF/, https://www.instagram.com/p/C9C5uguJtwH/, https://www.instagram.com/p/C6TU16rJs8B/, https://www.instagram.com/p/C6OeuNuMdEn/",63.0,13000.0,contact63@elivaas.com
Coral VillasMoira Unit 353,ELIVAAS,Goa,Vagator,4-BHK Villa,No,Coral VillasMoira Unit 353 Factsheet.docx,Yes,,,BLUDOOR Listing Content,Done,PINKSKY WEBSITE CONTENT,Done,CORAL VILLASMOIRA UNIT 353 BROCHURE.docx,Done,Done,Elivaas_Cloud7 Brochure.pdf,https://bit.ly/3Tmu0bR,Done,Good To Go,,G1CD4E0005_Detailed Brochure.pdf,https://bit.ly/4afsCh9,Done,Coral VillasMoira Unit 353 - HOME GUIDE.pdf,Coral VillasMoira Unit 353 - HOME GUIDE.pdf,Good To Go,,Coral VillasMoira Unit 353 - Set Menu.pdf,Coral VillasMoira Unit 353 - Set Menu.pdf,Cloud7 Walkthrough.mp4,Bauhinia Walkthrough.mp4,G1BR5E0011.mp4,https://bit.ly/3wbSM4N,Cloud 7  Shells,,Villa 5,https://bit.ly/3PXwhbn,"https://www.instagram.com/p/DCqhrEhScle/, https://www.instagram.com/p/C_lDDY-o8q7/, https://www.instagram.com/p/C-AwXOVSUj8/, https://www.instagram.com/p/C9xA2Ahymi-/, https://www.instagram.com/p/C9t4rQhOpxF/, https://www.instagram.com/p/C9C5uguJtwH/, https://www.instagram.com/p/C6TU16rJs8B/, https://www.instagram.com/p/C6OeuNuMdEn/",64.0,18500.0,contact64@elivaas.com
Crimson Haven in Arpora Unit 231,ELIVAAS,Goa,Vagator,4-BHK Villa,Pet-friendly,Crimson Haven in Arpora Unit 231 Factsheet.docx,Yes,,,"PALMS, C-7 Listing Content",Done,BLUDOOR WEBSITE SPACES SECTION,Done,CRIMSON HAVEN IN ARPORA UNIT 231 BROCHURE.docx,Done,Done,ELIVAAS_Celest_4-BHK_Detailed Brochure.pdf,https://bit.ly/3GGCfI0,Done,Good To Go,,G1PY4E0112_4-BHK_Detailed brochure.pdf,https://bit.ly/48ekI5J,Done,Crimson Haven in Arpora Unit 231 - HOME GUIDE.pdf,Crimson Haven in Arpora Unit 231 - HOME GUIDE.pdf,Good To Go,,Crimson Haven in Arpora Unit 231 - Set Menu.pdf,Crimson Haven in Arpora Unit 231 - Set Menu.pdf,Cloud7 Walkthrough.mp4,Cloud7 Walkthrough.mp4,G1CD4E0008.mp4,https://bit.ly/3UEVMkn,Indah,,BluDoor,https://bit.ly/3RINKpj,"https://www.instagram.com/p/DCqhrEhScle/, https://www.instagram.com/p/C_lDDY-o8q7/, https://www.instagram.com/p/C-AwXOVSUj8/, https://www.instagram.com/p/C9xA2Ahymi-/, https://www.instagram.com/p/C9t4rQhOpxF/, https://www.instagram.com/p/C9C5uguJtwH/, https://www.instagram.com/p/C6TU16rJs8B/, https://www.instagram.com/p/C6OeuNuMdEn/",65.0,11500.0,contact65@elivaas.com
Silver Heights at Assagao Unit 585,ELIVAAS,Goa,Moira,4-BHK Villa,No,Silver Heights at Assagao Unit 585 Factsheet.docx,Yes,,,PINKSKY LISTING CONTENT,Done,PINKSKY WEBSITE CONTENT,Done,SILVER HEIGHTS AT ASSAGAO UNIT 585 BROCHURE.docx,Done,Done,ELIVAAS_Bludoor_Detailed Brochure.pdf,https://bit.ly/3VzGRYY,Done,Good To Go,,G1BA5E0010_Detailed Brochure.pdf,https://bit.ly/3VyJrhP,Done,Silver Heights at Assagao Unit 585 - HOME GUIDE.pdf,Silver Heights at Assagao Unit 585 - HOME GUIDE.pdf,Good To Go,,Silver Heights at Assagao Unit 585 - Set Menu.pdf,Silver Heights at Assagao Unit 585 - Set Menu.pdf,Bludoor Walkthrough.mp4,Indah Walkthrough.MP4,G1CD4E0008.mp4,https://bit.ly/457ZLJB,Cloud 7  Shells,,Bauhinia 5BHK Assagao,https://bit.ly/45fm0xi,"https://www.instagram.com/p/DCqhrEhScle/, https://www.instagram.com/p/C_lDDY-o8q7/, https://www.instagram.com/p/C-AwXOVSUj8/, https://www.instagram.com/p/C9xA2Ahymi-/, https://www.instagram.com/p/C9t4rQhOpxF/, https://www.instagram.com/p/C9C5uguJtwH/, https://www.instagram.com/p/C6TU16rJs8B/, https://www.instagram.com/p/C6OeuNuMdEn/",66.0,16000.0,contact66@elivaas.com
Emerald Estate in Assagao Unit 963,ELIVAAS,Goa,Vagator,4-BHK Villa,No,Emerald Estate in Assagao Unit 963 Factsheet.docx,Yes,,,PINKSKY LISTING CONTENT,Done,PINKSKY WEBSITE CONTENT,Done,EMERALD ESTATE IN ASSAGAO UNIT 963 BROCHURE.docx,Done,Done,ELIVAAS PinkSky_4-BHK_Detailed brochure.pdf,https://bit.ly/3REl7sF,Done,Good To Go,,G1LN4E0067_4BHK_Detailed Brochure.pdf,https://bit.ly/3BPwjx4,Done,Emerald Estate in Assagao Unit 963 - HOME GUIDE.pdf,Emerald Estate in Assagao Unit 963 - HOME GUIDE.pdf,Good To Go,,Emerald Estate in Assagao Unit 963 - Set Menu.pdf,Emerald Estate in Assagao Unit 963 - Set Menu.pdf,Cloud7 Walkthrough.mp4,Cloud7 Walkthrough.mp4,G1CD4E0008.mp4,https://bit.ly/3SDeyG7,Cloud 7  Tropical,,Villa 1,https://bit.ly/3AhJnek,"https://www.instagram.com/p/DCqhrEhScle/, https://www.instagram.com/p/C_lDDY-o8q7/, https://www.instagram.com/p/C-AwXOVSUj8/, https://www.instagram.com/p/C9xA2Ahymi-/, https://www.instagram.com/p/C9t4rQhOpxF/, https://www.instagram.com/p/C9C5uguJtwH/, https://www.instagram.com/p/C6TU16rJs8B/, https://www.instagram.com/p/C6OeuNuMdEn/",67.0,15500.0,contact67@elivaas.com
Silver Villas in Assagao Unit 389,ELIVAAS,Goa,Vagator,4-BHK Villa,Pet-friendly,Silver Villas in Assagao Unit 389 Factsheet.docx,Yes,,,"CORAL, C-7 Listing Content",Done,BLUDOOR WEBSITE SPACES SECTION,Done,SILVER VILLAS IN ASSAGAO UNIT 389 BROCHURE.docx,Done,Done,Elivaas_Cloud7 Brochure.pdf,https://bit.ly/4cZv37P,Done,Good To Go,,G1OS4E0017_Detailed Brochure .pdf,https://bit.ly/3Mo0wp9,Done,Silver Villas in Assagao Unit 389 - HOME GUIDE.pdf,Silver Villas in Assagao Unit 389 - HOME GUIDE.pdf,Good To Go,,Silver Villas in Assagao Unit 389 - Set Menu.pdf,Silver Villas in Assagao Unit 389 - Set Menu.pdf,Dahlia Walkthrough.mp4,Bludoor Walkthrough.mp4,G1RA4E0020.mp4,https://bit.ly/4dDGjYA,Cloud 7  Shells,,Indah_4bhk_Moira,https://bit.ly/3UtTSlD,"https://www.instagram.com/p/DCqhrEhScle/, https://www.instagram.com/p/C_lDDY-o8q7/, https://www.instagram.com/p/C-AwXOVSUj8/, https://www.instagram.com/p/C9xA2Ahymi-/, https://www.instagram.com/p/C9t4rQhOpxF/, https://www.instagram.com/p/C9C5uguJtwH/, https://www.instagram.com/p/C6TU16rJs8B/, https://www.instagram.com/p/C6OeuNuMdEn/",68.0,12500.0,contact68@elivaas.com
Maple Haven at Vagator Unit 769,ELIVAAS,Goa,Nerul,4-BHK Villa,No,Maple Haven at Vagator Unit 769 Factsheet.docx,Yes,,,"COVE, C-7 Listing Content",Done,BLUDOOR WEBSITE SPACES SECTION,Done,MAPLE HAVEN AT VAGATOR UNIT 769 BROCHURE.docx,Done,Done,Elivaas_Cloud7 Brochure.pdf,https://bit.ly/3Tg6Bsu,Done,Good To Go,,G1CD4E0005_Detailed Brochure.pdf,https://bit.ly/3teiX9Y,Done,Maple Haven at Vagator Unit 769 - HOME GUIDE.pdf,Maple Haven at Vagator Unit 769 - HOME GUIDE.pdf,Good To Go,,Maple Haven at Vagator Unit 769 - Set Menu.pdf,Maple Haven at Vagator Unit 769 - Set Menu.pdf,Panache Walkthrough.mp4,Cloud7 Walkthrough.mp4,G1CD4E0008.mp4,https://bit.ly/4cXXLpE,Cloud 7  Palms,,Villa 2,https://bit.ly/3Q58OVP,"https://www.instagram.com/p/DCqhrEhScle/, https://www.instagram.com/p/C_lDDY-o8q7/, https://www.instagram.com/p/C-AwXOVSUj8/, https://www.instagram.com/p/C9xA2Ahymi-/, https://www.instagram.com/p/C9t4rQhOpxF/, https://www.instagram.com/p/C9C5uguJtwH/",69.0,13000.0,contact69@elivaas.com
Silver Residency in Arpora Unit 194,ELIVAAS,Goa,Arpora,4-BHK Villa,Pet-friendly,Silver Residency in Arpora Unit 194 Factsheet.docx,Yes,,,CELEST Listing Content,Done,BLUDOOR WEBSITE SPACES SECTION,Done,SILVER RESIDENCY IN ARPORA UNIT 194 BROCHURE.docx,Done,Done,ELIVAAS_Risaia_Detailed Brochure.pdf,https://bit.ly/3LP3LWw,Done,Good To Go,,G1RA4E0020_Detailed Brochure.pdf,https://bit.ly/3RIMWjS,Done,Silver Residency in Arpora Unit 194 - HOME GUIDE.pdf,Silver Residency in Arpora Unit 194 - HOME GUIDE.pdf,Good To Go,,Silver Residency in Arpora Unit 194 - Set Menu.pdf,Silver Residency in Arpora Unit 194 - Set Menu.pdf,Celest Walkthrough.mp4,Cloud7 Walkthrough.mp4,G1CD4E0008.mp4,https://bit.ly/49cYrpY,Indah,,Bauhinia 5BHK Assagao,https://bit.ly/3LV8hD8,"https://www.instagram.com/p/C-hXq_CIxAc/, https://www.instagram.com/p/C9w_raXIWaY/, https://www.instagram.com/p/C7B_SKroR9O/",70.0,17500.0,contact70@elivaas.com
Silver Villas in Nerul Unit 298,ELIVAAS,Goa,Assagao,4-BHK Villa,No,Silver Villas in Nerul Unit 298 Factsheet.docx,Yes,,,"TROPICAL, C-7 Listing Content",Done,BLUDOOR WEBSITE SPACES SECTION,Done,SILVER VILLAS IN NERUL UNIT 298 BROCHURE.docx,Done,Done,Elivaas_Cloud7 Brochure.pdf,https://bit.ly/3ti0FVm,Done,Good To Go,,G1CD4E0005_Detailed Brochure.pdf,https://bit.ly/3InBiFg,Done,Silver Villas in Nerul Unit 298 - HOME GUIDE.pdf,Silver Villas in Nerul Unit 298 - HOME GUIDE.pdf,Good To Go,,Silver Villas in Nerul Unit 298 - Set Menu.pdf,Silver Villas in Nerul Unit 298 - Set Menu.pdf,Celest Walkthrough.mp4,Cloud7 Walkthrough.mp4,G1CD4E0008.mp4,https://bit.ly/4bzVcKM,Dahlia,,Villa 5,https://bit.ly/469uGol,https://www.instagram.com/p/DCy8HHXopBX/,71.0,13500.0,contact71@elivaas.com
Ivory Court in Nerul Unit 825,ELIVAAS,Goa,Moira,4-BHK Villa,Pet-friendly,Ivory Court in Nerul Unit 825 Factsheet.docx,Yes,,,"CORAL, C-7 Listing Content",Done,BLUDOOR WEBSITE SPACES SECTION,Done,IVORY COURT IN NERUL UNIT 825 BROCHURE.docx,Done,Done,Elivaas_Cloud7 Brochure.pdf,https://bit.ly/3ThQkmS,Done,Good To Go,,G1CD4E0005_Detailed Brochure.pdf,https://bit.ly/3TjceGl,Done,Ivory Court in Nerul Unit 825 - HOME GUIDE.pdf,Ivory Court in Nerul Unit 825 - HOME GUIDE.pdf,Good To Go,,Ivory Court in Nerul Unit 825 - Set Menu.pdf,Ivory Court in Nerul Unit 825 - Set Menu.pdf,Cloud7 Walkthrough.mp4,Dahlia Walkthrough.mp4,G1CD4E0008.mp4,https://bit.ly/49bkGg0,Cloud 7  Waves,,Villa 4,https://bit.ly/48un1CG,"https://www.instagram.com/p/C9rKDfmo0zd/, https://www.instagram.com/p/C7yhdtCojw7/",72.0,24000.0,contact72@elivaas.com
Willow Grove at Assagao Unit 733,ELIVAAS,Goa,Assagao,4-BHK Villa,No,Willow Grove at Assagao Unit 733 Factsheet.docx,Yes,,,BAUHINIA LISTING.docx,Done,BLUDOOR WEBSITE SPACES SECTION,Done,WILLOW GROVE AT ASSAGAO UNIT 733 BROCHURE.docx,Done,Done,Elivaas_Cloud7 Brochure.pdf,https://bit.ly/4anxqkK,Done,Good To Go,,G1CD4E0005_Detailed Brochure.pdf,https://bit.ly/48gl0cp,Done,Willow Grove at Assagao Unit 733 - HOME GUIDE.pdf,Willow Grove at Assagao Unit 733 - HOME GUIDE.pdf,Good To Go,,Willow Grove at Assagao Unit 733 - Set Menu.pdf,Willow Grove at Assagao Unit 733 - Set Menu.pdf,Cloud7 Walkthrough.mp4,Cloud7 Walkthrough.mp4,G1BR5E0011.mp4,https://bit.ly/3OHjKYm,Cloud 7  Shore,,Villa 4,https://bit.ly/45P20zV,"https://www.instagram.com/p/C-GiXVMSkuK/, https://www.instagram.com/p/C-Amt60vvk6/",73.0,15000.0,contact73@elivaas.com
Sapphire Court in Arpora Unit 559,ELIVAAS,Goa,Arpora,4-BHK Villa,No,Sapphire Court in Arpora Unit 559 Factsheet.docx,Yes,,,INDAH Listing Content,Done,PINKSKY WEBSITE CONTENT,Done,SAPPHIRE COURT IN ARPORA UNIT 559 BROCHURE.docx,Done,Done,ELIVAAS_Risaia_Detailed Brochure.pdf,https://bit.ly/4anxqkK,Done,Good To Go,,G1PE3E0018_Detailed Brochure.pdf,https://bit.ly/48gl0cp,Done,Sapphire Court in Arpora Unit 559 - HOME GUIDE.pdf,Sapphire Court in Arpora Unit 559 - HOME GUIDE.pdf,Good To Go,,Sapphire Court in Arpora Unit 559 - Set Menu.pdf,Sapphire Court in Arpora Unit 559 - Set Menu.pdf,Celest Walkthrough.mp4,Cloud7 Walkthrough.mp4,G1RA4E0020.mp4,https://bit.ly/3SwlswI,Cloud 7  Palms,,"Risaia, nerul",https://bit.ly/45P20zV,https://www.instagram.com/p/C9uCCLUPWgr/,74.0,23000.0,contact74@elivaas.com
Sapphire HavenAssagao Unit 894,ELIVAAS,Goa,Arpora,4-BHK Villa,No,Sapphire HavenAssagao Unit 894 Factsheet.docx,Yes,,,LUMIN LISTING CONTENT,Done,PINKSKY WEBSITE CONTENT,Done,SAPPHIRE HAVENASSAGAO UNIT 894 BROCHURE.docx,Done,Done,Elivaas_Lumin_4BHK_Detailed Brochure.pdf,https://bit.ly/4anxqkK,Done,Good To Go,,G1DA4E0013_Detailed Brochure.pdf,https://bit.ly/48gl0cp,Done,Sapphire HavenAssagao Unit 894 - HOME GUIDE.pdf,Sapphire HavenAssagao Unit 894 - HOME GUIDE.pdf,Good To Go,,Sapphire HavenAssagao Unit 894 - Set Menu.pdf,Sapphire HavenAssagao Unit 894 - Set Menu.pdf,Cloud7 Walkthrough.mp4,Risaia Walkthrough.mp4,G1CD4E0008.mp4,https://bit.ly/3SHbjNQ,Dahlia,,Villa 4,https://bit.ly/45P20zV,https://www.instagram.com/p/C-iXFaEC2jw/,75.0,23500.0,contact75@elivaas.com
Pearl Residency at Vagator Unit 606,ELIVAAS,Goa,Vagator,4-BHK Villa,No,Pearl Residency at Vagator Unit 606 Factsheet.docx,Yes,,,"SHELLS, C-7 Listing Content",Done,BLUDOOR WEBSITE SPACES SECTION,Done,PEARL RESIDENCY AT VAGATOR UNIT 606 BROCHURE.docx,Done,Done,Elivaas_Lumin_4BHK_Detailed Brochure.pdf,https://bit.ly/4anxqkK,Done,Good To Go,,G1CD4E0005_Detailed Brochure.pdf,https://bit.ly/48gl0cp,Done,Pearl Residency at Vagator Unit 606 - HOME GUIDE.pdf,Pearl Residency at Vagator Unit 606 - HOME GUIDE.pdf,Good To Go,,Pearl Residency at Vagator Unit 606 - Set Menu.pdf,Pearl Residency at Vagator Unit 606 - Set Menu.pdf,Panache Walkthrough.mp4,Indah Walkthrough.MP4,G1RA4E0020.mp4,https://bit.ly/3uEuOP6,Cloud 7  Shells,,Bauhinia 5BHK Assagao,https://bit.ly/45P20zV,https://www.instagram.com/p/DCqhrEhScle/ | https://www.instagram.com/p/C_lDDY-o8q7/ https://www.instagram.com/p/C-AwXOVSUj8/ | https://www.instagram.com/p/C9xA2Ahymi-/ https://www.instagram.com/p/C9t4rQhOpxF/ | https://www.instagram.com/p/C9C5uguJtwH/  https://www.instagram.com/p/C6TU16rJs8B/ | https://www.instagram.com/p/C6OeuNuMdEn/,76.0,21000.0,contact76@elivaas.com
Maple HavenVagator Unit 355,ELIVAAS,Goa,Vagator,4-BHK Villa,No,Maple HavenVagator Unit 355 Factsheet.docx,Yes,,,"PALMS, C-7 Listing Content",Done,BLUDOOR WEBSITE SPACES SECTION,Done,MAPLE HAVENVAGATOR UNIT 355 BROCHURE.docx,Done,Done,Elivaas_Indah_Detailed Brochure.pdf,https://bit.ly/4anxqkK,Done,Good To Go,,G1BR5E0011_Detailed Brochure.pdf,https://bit.ly/48gl0cp,Done,Maple HavenVagator Unit 355 - HOME GUIDE.pdf,Maple HavenVagator Unit 355 - HOME GUIDE.pdf,Good To Go,,Maple HavenVagator Unit 355 - Set Menu.pdf,Maple HavenVagator Unit 355 - Set Menu.pdf,Indah Walkthrough.mp4,Cloud7 Walkthrough.mp4,G1RA4E0020.mp4,https://bit.ly/3I0Yady,Risaia,,Villa 7,https://bit.ly/45P20zV,"https://www.instagram.com/p/DCqhrEhScle/, https://www.instagram.com/p/C_lDDY-o8q7/, https://www.instagram.com/p/C-AwXOVSUj8/, https://www.instagram.com/p/C9xA2Ahymi-/, https://www.instagram.com/p/C9t4rQhOpxF/, https://www.instagram.com/p/C9C5uguJtwH/, https://www.instagram.com/p/C6TU16rJs8B/, https://www.instagram.com/p/C6OeuNuMdEn/",77.0,16000.0,contact77@elivaas.com
Scarlet Residency in Arpora Unit 815,ELIVAAS,Goa,Arpora,5-BHK Villa,No,Scarlet Residency in Arpora Unit 815 Factsheet.docx,Yes,,,INDAH Listing Content,Done,BLUDOOR WEBSITE SPACES SECTION,Done,SCARLET RESIDENCY IN ARPORA UNIT 815 BROCHURE.docx,Done,Done,Elivaas_Cloud7 Brochure.pdf,https://bit.ly/4anxqkK,Done,Good To Go,,G1DA4E0013_Detailed Brochure.pdf,https://bit.ly/48gl0cp,Done,Scarlet Residency in Arpora Unit 815 - HOME GUIDE.pdf,Scarlet Residency in Arpora Unit 815 - HOME GUIDE.pdf,Good To Go,,Scarlet Residency in Arpora Unit 815 - Set Menu.pdf,Scarlet Residency in Arpora Unit 815 - Set Menu.pdf,Celest Walkthrough.mp4,Cloud7 Walkthrough.mp4,G1CD4E0008.mp4,https://bit.ly/49e4f2u,Panache,,Tabra A2,https://bit.ly/45P20zV,"https://www.instagram.com/p/DCqhrEhScle/, https://www.instagram.com/p/C_lDDY-o8q7/, https://www.instagram.com/p/C-AwXOVSUj8/, https://www.instagram.com/p/C9xA2Ahymi-/, https://www.instagram.com/p/C9t4rQhOpxF/, https://www.instagram.com/p/C9C5uguJtwH/, https://www.instagram.com/p/C6TU16rJs8B/, https://www.instagram.com/p/C6OeuNuMdEn/",78.0,19500.0,contact78@elivaas.com
Amber CourtVagator Unit 465,ELIVAAS,Goa,Moira,4-BHK Villa,No,Amber CourtVagator Unit 465 Factsheet.docx,Yes,,,OPALYS Listing Content,Done,PINKSKY WEBSITE CONTENT,Done,AMBER COURTVAGATOR UNIT 465 BROCHURE.docx,Done,Done,ELIVAAS_Risaia_Detailed Brochure.pdf,https://bit.ly/4anxqkK,Done,Good To Go,,G1CD4E0005_Detailed Brochure.pdf,https://bit.ly/48gl0cp,Done,Amber CourtVagator Unit 465 - HOME GUIDE.pdf,Amber CourtVagator Unit 465 - HOME GUIDE.pdf,Good To Go,,Amber CourtVagator Unit 465 - Set Menu.pdf,Amber CourtVagator Unit 465 - Set Menu.pdf,Indah Walkthrough.mp4,Cloud7 Walkthrough.mp4,G1BR5E0011.mp4,https://bit.ly/3SXluPD,Celest,,Indah_4bhk_Moira,https://bit.ly/45P20zV,"https://www.instagram.com/p/DCqhrEhScle/, https://www.instagram.com/p/C_lDDY-o8q7/, https://www.instagram.com/p/C-AwXOVSUj8/, https://www.instagram.com/p/C9xA2Ahymi-/, https://www.instagram.com/p/C9t4rQhOpxF/, https://www.instagram.com/p/C9C5uguJtwH/, https://www.instagram.com/p/C6TU16rJs8B/, https://www.instagram.com/p/C6OeuNuMdEn/",79.0,14000.0,contact79@elivaas.com
Pearl Residency at Vagator Unit 200,ELIVAAS,Goa,Arpora,4-BHK Villa,No,Pearl Residency at Vagator Unit 200 Factsheet.docx,Yes,,,"TROPICAL, C-7 Listing Content",Done,BLUDOOR WEBSITE SPACES SECTION,Done,PEARL RESIDENCY AT VAGATOR UNIT 200 BROCHURE.docx,Done,Done,ELIVAAS_Bauhinia_Detailed Brochure.pdf,https://bit.ly/48cNunl,Done,Good To Go,,G1IH4E0015_Detailed Brochure.pdf,https://bit.ly/3uUzuQN,Done,Pearl Residency at Vagator Unit 200 - HOME GUIDE.pdf,Pearl Residency at Vagator Unit 200 - HOME GUIDE.pdf,Good To Go,,Pearl Residency at Vagator Unit 200 - Set Menu.pdf,Pearl Residency at Vagator Unit 200 - Set Menu.pdf,Dahlia Walkthrough.mp4,Cloud7 Walkthrough.mp4,G1RA4E0020.mp4,https://bit.ly/3uwmAbQ,Cloud 7  Waves,,Villa 1,https://bit.ly/3RxZ6MF,"https://www.instagram.com/p/DCqhrEhScle/, https://www.instagram.com/p/C_lDDY-o8q7/, https://www.instagram.com/p/C-AwXOVSUj8/, https://www.instagram.com/p/C9xA2Ahymi-/, https://www.instagram.com/p/C9t4rQhOpxF/, https://www.instagram.com/p/C9C5uguJtwH/, https://www.instagram.com/p/C6TU16rJs8B/, https://www.instagram.com/p/C6OeuNuMdEn/",80.0,13000.0,contact80@elivaas.com
Pearl Grove in Moira Unit 222,ELIVAAS,Goa,Vagator,4-BHK Villa,No,Pearl Grove in Moira Unit 222 Factsheet.docx,Yes,,,RISAIA Listing Content,Done,PINKSKY WEBSITE CONTENT,Done,PEARL GROVE IN MOIRA UNIT 222 BROCHURE.docx,Done,Done,Elivaas_Dahlia_Detailed Brochure.pdf,https://bit.ly/3Tmu0bR,Done,Good To Go,,G1CD4E0005_Detailed Brochure.pdf,https://bit.ly/4afsCh9,Done,Pearl Grove in Moira Unit 222 - HOME GUIDE.pdf,Pearl Grove in Moira Unit 222 - HOME GUIDE.pdf,Good To Go,,Pearl Grove in Moira Unit 222 - Set Menu.pdf,Pearl Grove in Moira Unit 222 - Set Menu.pdf,Dahlia Walkthrough.mp4,Risaia Walkthrough.mp4,G1CD4E0008.mp4,https://bit.ly/3wbSM4N,BluDoor,,Bauhinia 5BHK Assagao,https://bit.ly/3PXwhbn,"https://www.instagram.com/p/DCqhrEhScle/, https://www.instagram.com/p/C_lDDY-o8q7/, https://www.instagram.com/p/C-AwXOVSUj8/, https://www.instagram.com/p/C9xA2Ahymi-/, https://www.instagram.com/p/C9t4rQhOpxF/, https://www.instagram.com/p/C9C5uguJtwH/, https://www.instagram.com/p/C6TU16rJs8B/, https://www.instagram.com/p/C6OeuNuMdEn/",81.0,16000.0,contact81@elivaas.com
Indigo ResidencyVagator Unit 675,ELIVAAS,Goa,Vagator,4-BHK Villa,No,Indigo ResidencyVagator Unit 675 Factsheet.docx,Yes,,,INDAH Listing Content,Done,BLUDOOR WEBSITE SPACES SECTION,Done,INDIGO RESIDENCYVAGATOR UNIT 675 BROCHURE.docx,Done,Done,ELIVAAS_Bauhinia_Detailed Brochure.pdf,https://bit.ly/3GGCfI0,Done,Good To Go,,G1BR5E0011_Detailed Brochure.pdf,https://bit.ly/48ekI5J,Done,Indigo ResidencyVagator Unit 675 - HOME GUIDE.pdf,Indigo ResidencyVagator Unit 675 - HOME GUIDE.pdf,Good To Go,,Indigo ResidencyVagator Unit 675 - Set Menu.pdf,Indigo ResidencyVagator Unit 675 - Set Menu.pdf,Cloud7 Walkthrough.mp4,Risaia Walkthrough.mp4,G1CD4E0008.mp4,https://bit.ly/3UEVMkn,Panache,,Villa 4,https://bit.ly/3RINKpj,"https://www.instagram.com/p/DCqhrEhScle/, https://www.instagram.com/p/C_lDDY-o8q7/, https://www.instagram.com/p/C-AwXOVSUj8/, https://www.instagram.com/p/C9xA2Ahymi-/, https://www.instagram.com/p/C9t4rQhOpxF/, https://www.instagram.com/p/C9C5uguJtwH/, https://www.instagram.com/p/C6TU16rJs8B/, https://www.instagram.com/p/C6OeuNuMdEn/",82.0,19000.0,contact82@elivaas.com
